Trinity.gene	50RH_Bag1_1	50RH_Bag1_2	50RH_Bag1_3	85RH_Bag1_1	85RH_Bag1_2	100RH_Bag1_1	100RH_Bag1_2	100RH_Bag1_3	50RH_Bag2_1	85RH_Bag2_1	100RH_Bag2_1	50RH_Bag3_1	85RH_Bag3_1	100RH_Bag3_1	50RH_Bag4_1	85RH_Bag4_1	100RH_Bag4_1	100RH_Bag4_2	100RH_Bag4_3
TRINITY_DN27145_c0_g4	0	0	0	0	0.385	0.38	0.059	0.504	0	0.988	0.22	0	0	0.038	0	0	0.533	0.205	0.249
TRINITY_DN9650_c0_g1	0	0	0	0	0	8.864	1.123	5.267	0	0	2.121	0	0	1.5	0	0	7	1.773	2.694
TRINITY_DN15600_c0_g1	0	0	0	0	0	3.041	0.205	1.687	0	16.205	1.039	0	0	0.522	0	0	4.388	1.171	1.035
TRINITY_DN29296_c0_g4	0	0	0	0	0	0.959	0.146	0.487	0	5.731	0.378	0	0	0.263	0	0	1.571	0.863	0.795
TRINITY_DN169276_c0_g1	0	0	0	0	0	0.636	0	0.115	0	0	0.269	0	0	0.48	0	0	0.85	0.388	0.473
TRINITY_DN42723_c0_g2	0	0	0	0	0	3.739	1.323	2.919	0	6.719	1.124	3.688	0	4.194	0	0	0.603	0	0.007
TRINITY_DN963_c0_g3	0	0	0	4.638	4.648	5.774	2.793	2.78	0	20.355	6.59	1.971	13.201	5.218	0	0	21.698	12.836	11.938
TRINITY_DN16142_c0_g1	0	0	0	0	0	0.705	0.077	1.118	0	0	0.169	0	0	0.414	0	0	4.649	2.01	1.752
TRINITY_DN29610_c0_g1	0	0	0	0	0	0.625	0.283	0.812	0	0	0.041	0	0	0	0	0	0.544	0.039	0.343
TRINITY_DN2449_c0_g1	0	0	0	0	3.398	5.069	1.348	3.12	0	148.613	4.647	0	2.785	3.706	0	0.115	12.815	9.436	8.326
